Match ID,Season,Current Rank,Map,Agent,Performance,Kills,Deaths,Assists,K/D,Damage Delta/Round,Kills/Round,Average Damage/Round,Econ Rating,First Kills,First Deaths,Entry Success Rate,Headshot Accuracy,Kills/Assists/Survived/Traded,Round Win %,TRN Score,Time Category,Day of Week,Result
1b389dca-7c0a-427c-a4ee-90966cb59df9,V26: A2,Platinum 2,Haven,Jett,3,20,18,8,1.1,8,0.8,167.8,57,2,4,0.333,0.124,0.75,0.458,673,Night,Friday,defeat
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,V26: A3,Platinum 2,Split,Vyse,2,20,17,4,1.2,49,0.9,186.1,81,3,2,0.6,0.202,0.9,0.381,839,Afternoon,Saturday,defeat
285fe4ee-5962-452d-ba99-fb0e8eb911fc,V26: A1,Unranked,Bind,Deadlock,5,19,19,8,1,14,0.8,150.4,66,4,3,0.571,0.259,0.71,0.458,599,Afternoon,Thursday,defeat
2a10dc85-0a10-49a4-aa59-a6baf818c957,V26: A3,Platinum 2,Pearl,Jett,4,11,11,5,1,-12,0.7,114.2,51,2,3,0.4,0.121,0.71,0.765,523,Afternoon,Friday,victory
2a1f45c4-86d0-4506-ab9e-8a196156639f,V26: A3,Platinum 2,Fracture,Vyse,4,22,16,4,1.4,60,0.9,173.4,81,4,2,0.667,0.187,0.79,0.458,779,Afternoon,Friday,defeat
2e26c762-3b06-41a3-9ec9-965e05a47ef5,V26: A2,Platinum 2,Bind,Brimstone,6,13,16,6,0.8,2,0.7,151.3,61,2,3,0.4,0.185,0.63,0.316,431,Afternoon,Tuesday,defeat
34a412f5-449d-4a3f-8a21-19aa47d60387,V26: A3,Platinum 2,Breeze,Brimstone,1,18,13,9,1.4,23,0.9,150.2,60,1,2,0.333,0.333,0.79,0.316,688,Afternoon,Thursday,defeat
367b5de8-a7de-4170-83b8-0c04cb4afc30,V26: A1,Unranked,Corrode,Yoru,6,17,17,6,1,0,0.8,151.2,64,0,5,0,0.099,0.76,0.381,577,Night,Wednesday,defeat
3839d218-298d-4f18-a222-bc6b765d1826,V26: A2,Platinum 2,Breeze,Viper,5,13,13,8,1,19,0.7,143.4,75,3,2,0.6,0.237,0.95,0.684,777,Night,Monday,victory
3952779b-b2ea-4ba8-965e-8e462ba07aee,V26: A1,Gold 2,Haven,Omen,1,20,16,3,1.2,25,1.1,178.6,59,3,1,0.75,0.175,0.74,0.316,669,Night,Wednesday,defeat
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,V26: A1,Gold 3,Abyss,Yoru,7,15,18,5,0.8,-21,0.7,127.1,50,3,6,0.333,0.145,0.67,0.619,511,Night,Friday,victory
428971a8-690a-45ce-a568-28a1a2c450a6,V26: A2,Platinum 1,Haven,Omen,4,15,19,14,0.8,5,0.7,152.4,62,2,3,0.4,0.169,0.57,0.565,514,Night,Saturday,victory
44134d78-f8ce-47cd-8b5b-093a5ba9736f,V26: A1,Gold 3,Corrode,Phoenix,8,10,13,3,0.8,-39,0.6,109.8,46,1,4,0.2,0.269,0.5,0.188,192,Night,Tuesday,defeat
447d53da-c874-43bc-8b9d-67bff7535a43,V26: A2,Platinum 1,Breeze,Jett,1,20,15,4,1.3,39,1.1,193.8,81,5,4,0.556,0.148,0.89,0.684,930,Night,Tuesday,victory
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,V26: A2,Gold 3,Bind,Deadlock,4,19,15,6,1.3,56,0.8,159,70,3,3,0.5,0.203,0.75,0.542,735,Afternoon,Sunday,victory
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,V26: A3,Platinum 2,Haven,Omen,5,19,18,6,1.1,10,0.8,133.5,52,3,1,0.75,0.092,0.88,0.458,728,Night,Saturday,defeat
545a6eff-45bb-47ca-99d6-1a6be64c787c,V26: A1,Gold 3,Breeze,Yoru,5,12,11,5,1.1,15,0.8,139.1,63,1,3,0.25,0.163,0.75,0.812,647,Afternoon,Sunday,victory
54925915-076d-4903-8de1-15e9c1583985,V26: A3,Platinum 2,Ascent,Omen,7,16,16,6,1,-4,0.8,134.4,50,0,0,0,0.24,0.67,0.619,564,Afternoon,Thursday,victory
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,V26: A2,Gold 3,Breeze,Viper,4,16,19,10,0.8,12,0.7,147.9,60,1,3,0.25,0.255,0.68,0.409,543,Afternoon,Sunday,defeat
564534fd-995c-447e-9838-ba6bb4686edd,V26: A3,Platinum 2,Fracture,Brimstone,3,15,9,13,1.7,71,1,190.1,77,2,1,0.667,0.22,0.93,0.867,946,Afternoon,Sunday,victory
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,V26: A1,Gold 3,Breeze,Vyse,7,13,17,6,0.8,-17,0.6,127.2,62,1,0,1,0.136,0.68,0.409,397,Afternoon,Wednesday,defeat
5f6eac07-5334-404e-a560-69aa97a3e0e8,V26: A2,Platinum 2,Fracture,Jett,1,21,12,5,1.8,72,1.1,212.2,103,3,4,0.429,0.115,0.89,0.684,974,Morning,Sunday,victory
645b271c-edec-45fb-9c3e-15216d049c44,V26: A1,Gold 3,Breeze,Brimstone,5,22,23,9,1,17,0.8,170.1,65,1,7,0.125,0.254,0.71,0.5,660,Morning,Wednesday,tied
